# ---------------------------------------------------------
# STRING METHODS
CHOOSE Statement	After you display data, the CHOOSE statement moves a highlight bar among a series of choices and selects a choice when you press GO, RETURN, or enter a unique combination of initial characters.	CHOOSE<br>  {     { ROW field [ HELP char-constant ] }<br>     |  { FIELD { field [ HELP char-constant ] } ... }<br>  }<br>  [ AUTO-RETURN ] [ COLOR color-phrase ]<br>  [ GO-ON ( key-label ... ) ] [ KEYS char-variable ]<br>  [ NO-ERROR ] [ PAUSE expression ]<br>  { [ frame-phrase ] }	
CHOOSE Event	The tables in this section describe user interface events, the user actions that generate the events, and widgets that have default behavior for the events. The term field&#8209;level widgets refers to any widgets that can be part of a field group in a frame: fill&#8209;ins, sliders, selection lists, toggle boxes, radio sets, editors, rectangles, images, text, buttons, combo boxes, and browse widgets. Frames, dialog boxes, windows, menus (including menu bars and pop&#8209;up menus), sub&#8209;menus, and menu items can also receive events. Note that there is frequently a distinction made between a browse widget and a single cell in an updateable browse. For the most part, a browse cell behaves as a fill&#8209;in widget. 	
CHR Function	Converts an integer value to its corresponding character value.	CHR ( expression <br>      [ , target-codepage [ , source-codepage ] ]<br>    )	
CLASS Statement	Defines a user-defined class. A class defined with this statement represents a user-defined data type whose characteristics are defined by class members, including a set of class data members and properties that define class data, and a set of class methods and events that define class behavior. In addition to class members, a class definition can include special optional methods (one or more constructors and one destructor). It can also include class-scoped handle-based objects that provide private resources to the class, function prototypes for user-defined functions referenced by the class, and triggers to handle events for widgets and other handle-based objects defined by the class.	CLASS class-type-name [ INHERITS super-type-name ]<br>&nbsp;&nbsp;[ IMPLEMENTS interface-type-name [ , interface-type-name ] ... ]<br>&nbsp;&nbsp;[ USE-WIDGET-POOL ]<br>&nbsp;&nbsp;[ ABSTRACT | FINAL ] :<br>&nbsp;<br>&nbsp;&nbsp;class-body	
CLASS-TYPE Attribute	Returns the class type of the most recently compiled class definition (.cls) file. If the most recently compiled file was not a class definition file, this attribute returns the empty string ("").	
CLEAR Statement	Clears the data for all fill-in fields in a frame. It also clears the colors for all widgets in a frame, except for enabled fill-ins.	CLEAR [ FRAME frame ] [ ALL ] [ NO-PAUSE ]	
CLEAR Event	The tables in this section describe user interface events, the user actions that generate the events, and widgets that have default behavior for the events. The term field&#8209;level widgets refers to any widgets that can be part of a field group in a frame: fill&#8209;ins, sliders, selection lists, toggle boxes, radio sets, editors, rectangles, images, text, buttons, combo boxes, and browse widgets. Frames, dialog boxes, windows, menus (including menu bars and pop&#8209;up menus), sub&#8209;menus, and menu items can also receive events. Note that there is frequently a distinction made between a browse widget and a single cell in an updateable browse. For the most part, a browse cell behaves as a fill&#8209;in widget. 	
Clear Method	This method performs the following actions:	CLEAR (&nbsp;)	
CLEAR-APPL-CONTEXT Method	Clears the application context for the current session.	CLEAR-APPL-CONTEXT(&nbsp;)	
CLEAR-LOG Method	Clears all messages existing in the current client log file and leaves the file open for writing. 	CLEAR-LOG(&nbsp;)	
CLEAR-SELECTION Method	Removes the highlight from the currently selected text. 	CLEAR-SELECTION (&nbsp;)	
CLEAR-SORT-ARROWS Method	Clears sort-arrow indicators for all columns in a browse.	CLEAR-SORT-ARROWS (&nbsp;)	
CLIENT-CONNECTION-ID Attribute	For a session-managed application, this attribute returns the connection ID for the physical AppServer connection associated with this server handle.	
ClientContextId Property	Contains a client context identifier (CCID), which can identify a user login session and its associated identity and application context.	DEFINE VARIABLE ccid AS CHARACTER NO-UNDO.<br>ccid= SUBSTRING(BASE64-ENCODE (GENERATE-UUID), 1, 22).	
CLIENT-TTY Attribute	Returns the name of the terminal display for this user&#8217;s login session. If not specified, the AVM returns a zero-length character string.	
CLIENT-TYPE Attribute	Returns the type of ABL client currently executing.	
CLIENT-WORKSTATION Attribute	The name of the host workstation on which the user, represented by the client-principal object, is working. If not specified, the AVM returns a zero-length character string.	
CLIPBOARD Handle	A handle to the system clipboard widget. The CLIPBOARD handle allows you to implement interactions that allow the user to transfer data between ABL field&#8209;level widgets, or between ABL field&#8209;level widgets and the widgets of other applications running on the system. ABL can interpret the data read from or written to the system clipboard widget as a single item or as a group of multiple items. These data transfers are typically invoked as cut, copy, and paste operations.	CLIPBOARD [ :attribute ]	
Clone Method	Creates a copy of a JsonArray instance and returns an object reference to the new instance.	Clone(&nbsp;)	
CLONE-NODE Method	Clone the XML node referred to by a node reference. The first parameter must be a valid X-noderef handle and refers to the new cloned XML node if the method succeeds. The new node is associated with the same document, but needs to be inserted with INSERT-BEFORE(&nbsp;) or APPEND-CHILD(&nbsp;) to become part of the document structure. 	CLONE-NODE ( x-node-handle , deep )	
CLOSE Event	The tables in this section describe user interface events, the user actions that generate the events, and widgets that have default behavior for the events. The term field&#8209;level widgets refers to any widgets that can be part of a field group in a frame: fill&#8209;ins, sliders, selection lists, toggle boxes, radio sets, editors, rectangles, images, text, buttons, combo boxes, and browse widgets. Frames, dialog boxes, windows, menus (including menu bars and pop&#8209;up menus), sub&#8209;menus, and menu items can also receive events. Note that there is frequently a distinction made between a browse widget and a single cell in an updateable browse. For the most part, a browse cell behaves as a fill&#8209;in widget. 	
CLOSE-LOG Method	Closes the current log file, which stops an interactive or batch client from writing messages to the log file. 	CLOSE-LOG(&nbsp;)	
CODE Attribute	A numeric code associated with the last event. 	
CODEBASE-LOCATOR Handle	A handle to the CODEBASE-LOCATOR object. A CODEBASE-LOCATOR object specifies the location and authentication information for a client application&#8217;s codebase (that is, an application&#8217;s files) stored on an AppServer or a web server. This object allows the WebClient to access application files for download. It also allows WebClient and the client application to share authentication information. 	CODEBASE-LOCATOR [ :attribute ]	
CODEPAGE Attribute	The code page of specified r-code.	
CODEPAGE-CONVERT Function	Converts a string value from one code page to another.	CODEPAGE-CONVERT<br>  ( source-string<br>    [ , target-codepage [ , source-codepage ] ]<br>  )	
COLOR Statement	Indicates the video attribute or color for normal display or for data entry.	COLOR [ DISPLAY ] color-phrase [ PROMPT color-phrase ]<br>       { field ... } { [ frame-phrase ] }	COLOR PROMPT color-phrase <br>      { field ... } { [ frame-phrase ] }	
COLOR-TABLE Handle	A handle to the current color table.	COLOR-TABLE [ :attribute | :method ]	
COLUMN Attribute	The column position of the left edge of the widget or the column position of the mouse cursor for the last mouse event on the display.	
COLUMN-BGCOLOR Attribute	The color number of the background color for the columns in a browse widget.	
COLUMN-DCOLOR Attribute	The number of the display color of a column.	
COLUMN-FGCOLOR Attribute	The color number of the foreground color for the columns in a browse widget.	
COLUMN-FONT Attribute	The font for the columns in a browse widget.	
COLUMN-LABEL Attribute	A text string that describes a column of data associated with a buffer-field.	
COLUMN-MOVABLE Attribute	Indicates whether you can move a browse column by pointing, clicking, and dragging.	
COLUMN-PFCOLOR Attribute	The color number for the display color of a column with input focus.	
COLUMN-READ-ONLY Attribute	Indicates whether you can tab to a browse column but not edit it.	
COLUMN-RESIZABLE Attribute	Indicates whether you can resize a browse column by pointing, clicking, and dragging.	
COLUMN-SCROLLING Attribute	The horizontal scrolling behavior of a browse widget.	
COM Attribute	The component handle to the control-frame COM object.	
COMBO-BOX Widget	A combo box is a field&#8209;level widget that combines the functionality of a fill&#8209;in field, radio set, and selection list into one fill&#8209;in and drop down list. You can set up a static combo box widget with the VIEW-AS phrase. You can create a dynamic combo box with the CREATE widget statement. The following figure shows a combo box:				
COM-HANDLE Attribute	The component handle to the control-frame COM object.	
COMPARE Function	The COMPARE function compares two strings and lets you:	COMPARE ( string1 , relational-operator , string2 , <br>          strength [ , collation ] )	
COMPILE Statement	Compiles a procedure file or a class definition file. A compilation can last for a session, or you can save it permanently for use in later sessions (as an r&#8209;code file, which has a .r extension). 	COMPILE { procedure-pathname | class-pathname | VALUE ( expression ) }<br>&nbsp;&nbsp;[ ATTR-SPACE [ = logical-expression ] ]<br>&nbsp;&nbsp;[ SAVE [ = logical-expression ] <br>&nbsp;&nbsp;&nbsp;&nbsp; [ INTO { directory | VALUE ( expression ) } ]<br>&nbsp;&nbsp;]<br>&nbsp;&nbsp;[ LISTING { listfile | VALUE ( expression ) } <br>&nbsp;&nbsp;&nbsp;&nbsp; [&nbsp;&nbsp;&nbsp;&nbsp; APPEND [ = logical-expression ] <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;&nbsp;PAGE-SIZE integer-expression <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;&nbsp;PAGE-WIDTH integer-expression <br>&nbsp;&nbsp;&nbsp;&nbsp; ]<br>&nbsp;&nbsp;]<br>&nbsp;&nbsp;[ XCODE expression ]<br>&nbsp;&nbsp;[ XREF { xreffile | VALUE ( expression ) } <br>&nbsp;&nbsp;&nbsp;&nbsp; [ APPEND [ = logical-expression ] ]<br>&nbsp;&nbsp;]<br>&nbsp;&nbsp;[ XREF-XML { directory | filename | VALUE ( expression ) } <br>&nbsp;&nbsp;]<br>&nbsp;&nbsp;[ STRING-XREF { sxreffile | VALUE ( expression ) } <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ APPEND [ = logical-expression ] ]<br>&nbsp;&nbsp;]<br>&nbsp;&nbsp;[ STREAM-IO [ = logical-expression ] ]<br>&nbsp;&nbsp;[ LANGUAGES ( { language-list | VALUE ( expression ) } )<br>&nbsp;&nbsp;&nbsp;&nbsp; [ TEXT-SEG-GROW = growth-factor ] ]<br>&nbsp;&nbsp;[ DEBUG-LIST { debugfile | VALUE ( expression ) } ]<br>&nbsp;&nbsp;[ PREPROCESS { preprocessfile | VALUE ( expression ) } ]<br>&nbsp;&nbsp;[ NO-ERROR ]<br>&nbsp;&nbsp;[ V6FRAME [ = logical-expression ]<br>&nbsp;&nbsp;&nbsp;&nbsp; [ USE-REVVIDEO | USE-UNDERLINE ] ]<br>&nbsp;&nbsp;&nbsp;&nbsp;[ MIN-SIZE [ = logical-expression ] ]<br>[ GENERATE-MD5 [ = logical-expression ] ]	
COMPILER Handle	A handle to information on a preceding COMPILE statement.	COMPILER [ :attribute ]	
Complement Method	Performs a bitwise complement (NOT) operation on the underlying value of the specified enumeration type and returns a new instance. You typically use this method to unset (turn off) a flag.	EnumHelper:Complement ( INPUT enum AS CLASS System.Enum )	
COMPLETE Attribute	Indicates if the asynchronous request is completed and its result is processed on the client.	
Complete Method	Directs the SBM Server to mark a task as completed, regardless of its state. 	Complete ( )	
COM-SELF Handle	A component handle to the ActiveX object (ActiveX control or ActiveX automation object) that generated the event being handled by the currently executing ActiveX event procedure.	COM-SELF [ :OCX-property-reference | :OCX-method-reference ]	
CONFIG-NAME Attribute	The WebSpeed service name. This method is called by the get-config WebSpeed API function. Intended for internal use only.	
CONNECT Event	The tables in this section describe user interface events, the user actions that generate the events, and widgets that have default behavior for the events. The term field&#8209;level widgets refers to any widgets that can be part of a field group in a frame: fill&#8209;ins, sliders, selection lists, toggle boxes, radio sets, editors, rectangles, images, text, buttons, combo boxes, and browse widgets. Frames, dialog boxes, windows, menus (including menu bars and pop&#8209;up menus), sub&#8209;menus, and menu items can also receive events. Note that there is frequently a distinction made between a browse widget and a single cell in an updateable browse. For the most part, a browse cell behaves as a fill&#8209;in widget. 	
CONNECT Statement	Establishes a connection to one or more databases from within an ABL procedure or class. 	CONNECT<br>  {<br>&nbsp;&nbsp;&nbsp;&nbsp;{ physical-name | VALUE ( expression ) } [ options ] | options <br>&nbsp;&nbsp;}<br>  [ NO-ERROR ]	
CONNECT Method	Physically connects and associates an AppServer instance, or logically connects an application service, with the specified server handle. The current application becomes a client application of the connected AppServer.	CONNECT ( [ connection-parms ] <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ , userid ] <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ , password ] <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ , app-server-info ] )	
CONNECTED Function	Tells whether a database is connected. If logical name is the logical name or alias is the alias of a connected database, the CONNECTED function returns TRUE; otherwise, it returns FALSE.	CONNECTED ( logical-name | alias )	
CONNECTED Method	Indicates whether an AppServer or Web service is currently connected and associated with the server handle, or if a socket handle is currently connected to a port. 	CONNECTED (&nbsp;)	
Connected Property	Indicates whether the associated Progress.BPM.UserSession has a valid connection to an SBM Server. The UserSession must explicitly be connected on behalf of a user before it can be used to successfully communicate with an SBM Server. This property allows a programmer to determine if the UserSession is valid for communication. 	
CONSTRUCTOR Statement	Defines a constructor for a class. A constructor is a special type of method that ABL invokes to initialize data for a new object of a class that is instantiated using the NEW function (classes), NEW statement, or DYNAMIC-NEW statement, or to initialize static members of a class. 	CONSTRUCTOR [ PRIVATE | PROTECTED | PUBLIC | STATIC ] class-name <br>&nbsp;&nbsp;( [ parameter [ , parameter ] ... ] ) :<br>&nbsp;<br>&nbsp;&nbsp;constructor-body	
CONSTRUCTOR  Statement	Defines a constructor for a class. A constructor is a special type of method that ABL invokes to initialize data for a new object of a class that is instantiated using the NEW function (classes), NEW statement, or DYNAMIC-NEW statement, or to initialize static members of a class. 	CONSTRUCTOR [ PRIVATE | PROTECTED | PUBLIC | STATIC ] class-name <br>&nbsp;&nbsp;( [ parameter [ , parameter ] ... ] ) :<br>&nbsp;<br>&nbsp;&nbsp;constructor-body	
CONTEXT-HELP Attribute	When CONTEXT-HELP is TRUE, a question mark icon displays in the title bar of the window or dialog box. The default value is FALSE. This attribute must be set before the window or dialog box is realized. 	
CONTEXT-HELP-FILE Attribute	Specifies the path name of a help (.HLP) file associated with a dialog box, window, or session.	
CONTEXT-HELP-ID Attribute	Specifies the identifier of a help topic in a help file.	
Control Property	The component handle to an ActiveX control that has the specified design-time name (Control-Name) and that is loaded into the control-frame.	DEFINE VARIABLE hSpin &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;AS COM-HANDLE NO-UNDO.<br>DEFINE VARIABLE hControlFrameCOM AS COM-HANDLE NO-UNDO.<br>DEFINE VARIABLE hControlFrame &nbsp;&nbsp;&nbsp;AS HANDLE&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;NO-UNDO.<br>&nbsp;<br>/* Instantiate the control-frame with hControlFrame and load the Spin control<br>&nbsp;&nbsp;&nbsp;into it*/<br>hControlFrameCOM = hControlFrame:COM-HANDLE.<br>hSpin&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; = hControlFrameCOM:Spin.	
CONTROL-BOX Attribute	Indicates whether the window has a system menu box in its caption bar.	
CONTROL-FRAME Widget	A control&#8209;frame is a field&#8209;level widget that holds an ActiveX control that you select for your application from the OpenEdge AppBuilder. A control&#8209;frame is always created dynamically.						/* Control Frame widget */<br>DEFINE VARIABLE hCFwid &nbsp;&nbsp;&nbsp;AS HANDLE&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;NO-UNDO.<br>/* Control Frame COM Object */<br>DEFINE VARIABLE hCFcom &nbsp;&nbsp;&nbsp;AS COM-HANDLE NO-UNDO.<br>/* ActiveX Control */<br>DEFINE VARIABLE hDateSpin AS COM-HANDLE NO-UNDO.<br>&nbsp;<br>/* Control-frame created with handle hCFwid and loaded with ActiveX<br>&nbsp;&nbsp;&nbsp;control named DateSpin. */<br>&nbsp;<br>ASSIGN<br>&nbsp;&nbsp;hCFcom&nbsp;&nbsp;&nbsp; = hCFwid:COM-HANDLE<br>&nbsp;&nbsp;hDateSpin = hCFcom:DateSpin.	
Controls Property	The component handle to the control collection that references the ActiveX controls in the control-frame.	
CONVERT-3D-COLORS Attribute	Determines whether image colors are converted to the corresponding system 3D colors. 	
CONVERT-TO-OFFSET Method	Converts a row and column value to a character offset in an editor widget.	CONVERT-TO-OFFSET ( row , column ) 	
COPY-DATASET Method	Copies a source ProDataSet object to a target ProDataSet object. By default, the AVM empties the target ProDataSet object temp-tables of all records before copying the source ProDataSet object.	targ-dataset-handle:COPY-DATASET ( src-dataset-handle [ , append-mode <br>&nbsp;&nbsp;[ , replace-mode [ , loose-copy-mode [ , pairs-list [ , current-only <br>&nbsp;&nbsp;[ , name-prefix ] ] ] ] ] ] )	
COPY-LOB Statement	Copies large object data between BLOBs, CLOBs, MEMPTRs, and LONGCHARs. It also copies large object data to and from the file system, and converts large object data to or from a specified code page.	COPY-LOB <br>&nbsp;&nbsp;[ FROM ] { [ OBJECT ] source-lob | FILE source-filename } <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[ STARTING AT n ] [ FOR length ]<br>&nbsp;&nbsp;TO { [ OBJECT ] target-lob [OVERLAY AT n [TRIM ] ] | <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;FILE target-filename [ APPEND ] }<br>&nbsp;&nbsp;[ NO-CONVERT | CONVERT convert-phrase ] <br>&nbsp;&nbsp;[ NO-ERROR ].	
COPY-SAX-ATTRIBUTES Method	Performs a deep copy of a SAX-attributes object.	target-handle:COPY-SAX-ATTRIBUTES ( source-handle )	
COPY-TEMP-TABLE Method	Copies a source temp-table object to a target temp-table object. Either of the temp-tables (source or target) may be a member of a ProDataSet object. The AVM empties the target temp-table of all records before copying the source temp-table, by default.	targ-tt-handle:COPY-TEMP-TABLE ( src-tt-handle [ , append-mode <br>&nbsp;&nbsp;[ , replace-mode [ , loose-copy-mode [ , name prefix ] ] ] ] )	
Count Property	The number of records in the result set for the query associated with the top-level table displayed in the bound .NET control.	
COUNT-OF Function	Returns an INTEGER value that is the total number of selected records in the file or files you are using across break groups.	COUNT-OF ( break-group )	
CPCASE Attribute	The case table the AVM uses to establish case rules for the Internal Code Page (-cpinternal) startup parameter.	
CPCOLL Attribute	The collation table the AVM uses with the Internal Code Page (-cpinternal) startup parameter.	
CPINTERNAL Attribute	The internal code page the AVM uses in memory.	
CPLOG Attribute	The code page for all messages written to the log (.lg) file.	
CPPRINT Attribute	The code page the AVM uses for the OUTPUT TO PRINTER statement.	
CPRCODEIN Attribute	The code page the AVM uses to convert text strings into the text segment.	
CPRCODEOUT Attribute	The code page ABL uses at compile time to convert text strings into the text segment and marks the text segment with the code page name.	
CPSTREAM Attribute	The code page the AVM uses for stream I/O.	
CPTERM Attribute	The code page the AVM uses for I/O with character terminals.	
CRC-VALUE Attribute	The cyclic redundancy check (CRC) value for either an r-code file, or a database table corresponding to a buffer object. 	
CREATE Statement	Creates a record in a table, sets all the fields in the record to their default initial values, and moves a copy of the record to the record buffer.	CREATE record [ FOR TENANT tenant-expression ] <br>  [ USING { ROWID ( nrow ) | RECID ( nrec ) } ] [ NO-ERROR ]	
Create Method	Use this set of Create(&nbsp;) method overloads to initialize CHARACTER values in ABL.	StringHelper:Create ( method-parameters )	
CREATE-BUFFER Statement	Creates a dynamic buffer object.	CREATE BUFFER handle FOR TABLE { table-name | table-handle | buffer-handle }<br>  [ BUFFER-NAME buffer-name ]<br>  [ IN WIDGET-POOL widget-pool-name ]	
Created Property	Use this property in response to a CreateRow event to indicate whether the record was successfully created in the bound ABL data source object. Set to TRUE if the record was successfully created. Set to FALSE if the record was not created. The default value is TRUE.	
CREATE-LIKE Method	Creates a table like another existing table, or a dynamic ProDataSet object like another static or dynamic ProDataSet object.	CREATE-LIKE ( { src-buffer-handle-exp | src-table-name-exp }<br>&nbsp;&nbsp;[ , src-index-name-exp ] )	CREATE-LIKE ( { src-dataset-handle | src-dataset-name }<br>&nbsp;&nbsp;[ , name-prefix ] )	
CREATE-LIKE-SEQUENTIAL Method	Creates a table like another existing database table or temp-table. Unlike CREATE-LIKE(&nbsp;), which creates temp-table fields in metaschema _field._field-rpos order (POSITION order in the .df schema definition file) of the source table&#8217;s fields, this method creates fields in _field._order sequence.	CREATE-LIKE-SEQUENTIAL ( { src-buffer-handle-exp | src-table-name-exp }<br>&nbsp;&nbsp;[ , src-index-name-exp ] )	
CREATE-NODE Method	Create an XML node in the current document. The first parameter must be a valid X-noderef handle and will refer to the new XML node if the method succeeds. This method merely creates the XML node as part of the XML document. The INSERT-BEFORE or APPEND-CHILD methods are required to actually insert it into the document&#8217;s tree.	CREATE-NODE ( x-node-handle , name , type )	
CREATE-NODE-NAMESPACE Method	Creates a namespace-aware XML node whose name can be either a single string y or an x:y combination. 	CREATE-NODE-NAMESPACE<br>&nbsp;&nbsp;( x-node-handle , namespace-uri , qualified-name , type )	
CREATE-RESULT-LIST-ENTRY Method	Creates an entry in the result list for the current row. The developer uses the CREATE-RESULT-LIST-ENTRY method in conjunction with new browse rows or new query rows to synchronize the data with the query.	CREATE-RESULT-LIST-ENTRY (&nbsp;)	
CreateRow Event	The .NET event published when some user action initiates a create row operation in the bound .NET control (for example, clicking in a new empty row at the bottom of a control).	&nbsp;&nbsp;( <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;INPUT sender AS CLASS System.Object,<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;INPUT args AS CLASS Progress.Data.CreateRowEventArgs<br>&nbsp;&nbsp;).	
Creator Property	The name of the creator of the task.	
CURRENT-CHANGED Attribute	Indicates whether a record in a buffer is different following a FIND CURRENT or GET CURRENT statement or method. If the record is different, CURRENT-CHANGED is TRUE. Otherwise, CURRENT-CHANGED is FALSE.	
CURRENT-CHANGED Function	Returns TRUE if the copy of the record in the buffer after executing a FIND CURRENT or GET CURRENT differs from the copy of the record in the buffer before executing the FIND CURRENT or GET CURRENT. That is, if the current application changes the record, but no other user changes the record during its scope in the current application, CURRENT-CHANGED returns FALSE.	CURRENT-CHANGED record	
CURRENT-COLUMN Attribute	The value of the browse column that contains the current cell. This attribute moves focus to the cell in the specified column in the current row. 	
CURRENT-ENVIRONMENT Attribute	Returns a list of CGI environment variable settings and HTTP header information, and is used by the get-cgi WebSpeed API function. Intended for internal use only.	
CURRENT-ITERATION Attribute	Indicates which iteration level corresponds to the buffer handle during a recursive FILL of a ProDataSet.	
CURRENT-LANGUAGE Function	Returns the current value of the CURRENT-LANGUAGE variable.	CURRENT-LANGUAGE	DEFINE VARIABLE cur-lang AS CHARACTER NO-UNDO.<br>&nbsp;<br>&nbsp;<br>IF cur-lang = "?" THEN <br>&nbsp;&nbsp;MESSAGE "Your current language is not set.".<br>ELSE <br>&nbsp;&nbsp;MESSAGE "Your current language is" cur-lang.	
CURRENT-LANGUAGE Statement	Sets the CURRENT-LANGUAGE variable for the current ABL session.	CURRENT-LANGUAGE = string-expression	
CURRENT-QUERY Method	The handle to the ProDataSet query that contains the currently selected row in the ProBindingSource. This method enables access to the correct child query when a bound .NET grid edits, creates, or deletes a row from a child table.	CURRENT-QUERY ( [ band-index ] )	
CURRENT-REQUEST-INFO Attribute	An object reference to a Progreses.Lang.OERequestInfo class that provides information about the current client request sent to and executing on an AppServer agent. This attribute only has meaning for a session running on an AppServer agent.	DEFINE VARIABLE ccid AS CHARACTER NO-UNDO.<br>DEFINE VARIABLE rRqInfo AS Progress.Lang.OERequestInfo NO-UNDO. <br>&nbsp;<br>ASSIGN<br>&nbsp;&nbsp;rRqInfo = CAST(SESSION:CURRENT-REQUEST-INFO, Progress.Lang.OERequestInfo)<br>&nbsp;&nbsp;ccid = rRqInfo:ClientContextId.	
CURRENT-RESPONSE-INFO Attribute	An object reference to a Progreses.Lang.OERequestInfo class that returns information about the response to a current request that an AppServer agent returns to an AppServer client. This attribute only has meaning for a session running on an AppServer agent.	DEFINE VARIABLE ccidResponse AS CHARACTER NO-UNDO.<br>DEFINE VARIABLE rRqInfo AS Progress.Lang.OERequestInfo NO-UNDO. <br>&nbsp;<br>ASSIGN<br>&nbsp;&nbsp;rRqInfo = CAST(SESSION:CURRENT-RESPONSE-INFO, Progress.Lang.OERequestInfo)<br>&nbsp;&nbsp;rRqInfo:ClientContextId = ccidResponse.	
CURRENT-RESULT-ROW Attribute	The sequence number of the current row of a dynamic query&#8217;s result list.	
CURRENT-RESULT-ROW Function	Returns the number of the current row of a specified query as an INTEGER value.	CURRENT-RESULT-ROW ( query-name )	
CURRENT-ROW-MODIFIED Attribute	Indicates whether any cells in the current row have been changed.	
CURRENT-VALUE Function	Returns the current INT64 value of a sequence defined in the Data Dictionary.	CURRENT-VALUE ( sequence [ , logical-dbname ] [ , tenant-id ] )	
CURRENT-VALUE Statement	Resets the current integer value of a sequence defined in the Data Dictionary.	CURRENT-VALUE ( sequence [ , logical-dbname ] [ , tenant-id ] ) = expression	
CURRENT-WINDOW Attribute	A current window for the specified procedure.	
CURRENT-WINDOW Handle	A handle to the default window for the current ABL session. This window is the default parent for all frames, dialog boxes, alert boxes, and messages. Set or examine the attributes of the CURRENT-WINDOW handle to modify or get information on the current default window.	CURRENT-WINDOW [ :attribute ]	
CURSOR-CHAR Attribute	The current character position of the text cursor on the current text line in an editor widget. 	
CURSOR-DOWN Event	The tables in this section describe user interface events, the user actions that generate the events, and widgets that have default behavior for the events. The term field&#8209;level widgets refers to any widgets that can be part of a field group in a frame: fill&#8209;ins, sliders, selection lists, toggle boxes, radio sets, editors, rectangles, images, text, buttons, combo boxes, and browse widgets. Frames, dialog boxes, windows, menus (including menu bars and pop&#8209;up menus), sub&#8209;menus, and menu items can also receive events. Note that there is frequently a distinction made between a browse widget and a single cell in an updateable browse. For the most part, a browse cell behaves as a fill&#8209;in widget. 	
CURSOR-LEFT Event	The tables in this section describe user interface events, the user actions that generate the events, and widgets that have default behavior for the events. The term field&#8209;level widgets refers to any widgets that can be part of a field group in a frame: fill&#8209;ins, sliders, selection lists, toggle boxes, radio sets, editors, rectangles, images, text, buttons, combo boxes, and browse widgets. Frames, dialog boxes, windows, menus (including menu bars and pop&#8209;up menus), sub&#8209;menus, and menu items can also receive events. Note that there is frequently a distinction made between a browse widget and a single cell in an updateable browse. For the most part, a browse cell behaves as a fill&#8209;in widget. 	
CURSOR-LINE Attribute	The line within an editor widget where the text cursor is positioned. 	
CURSOR-OFFSET Attribute	The character offset of the cursor within a widget. 	
CURSOR-RIGHT Event	The tables in this section describe user interface events, the user actions that generate the events, and widgets that have default behavior for the events. The term field&#8209;level widgets refers to any widgets that can be part of a field group in a frame: fill&#8209;ins, sliders, selection lists, toggle boxes, radio sets, editors, rectangles, images, text, buttons, combo boxes, and browse widgets. Frames, dialog boxes, windows, menus (including menu bars and pop&#8209;up menus), sub&#8209;menus, and menu items can also receive events. Note that there is frequently a distinction made between a browse widget and a single cell in an updateable browse. For the most part, a browse cell behaves as a fill&#8209;in widget. 	
CURSOR-UP Event	The tables in this section describe user interface events, the user actions that generate the events, and widgets that have default behavior for the events. The term field&#8209;level widgets refers to any widgets that can be part of a field group in a frame: fill&#8209;ins, sliders, selection lists, toggle boxes, radio sets, editors, rectangles, images, text, buttons, combo boxes, and browse widgets. Frames, dialog boxes, windows, menus (including menu bars and pop&#8209;up menus), sub&#8209;menus, and menu items can also receive events. Note that there is frequently a distinction made between a browse widget and a single cell in an updateable browse. For the most part, a browse cell behaves as a fill&#8209;in widget. 	
Custom Property	An authentication status code that indicates a custom error condition that is defined and returned by an ABL callback procedure.	
DATA-ENTRY-RETURN Attribute	The behavior of the RETURN key for the fill-in widgets of a frame.	
DATASERVERS Function	Returns a list of database types your OpenEdge product supports from where it is executed. The DATASERVERS function takes no arguments. 	DATASERVERS	"PROGRESS,ODBC,ORACLE"	DEFINE VARIABLE db-types AS CHARACTER NO-UNDO VIEW-AS SELECTION-LIST<br>&nbsp;&nbsp;INNER-CHARS 20 INNER-LINES 3 LABEL "DataServers".<br>&nbsp;<br>FORM db-types.<br>db-types:LIST-ITEMS = DATASERVERS.<br>UPDATE db-types.	
